   10    15 

Allocation    A   B   C   D   E   F   G   H   I   J
P_00          0   2   3   4   1   1   3   2   2   3
P_01          2   2   1   1   1   1   1   0   4   3
P_02          2   1   4   3   3   3   4   3   2   0
P_03          0   2   0   4   1   2   0   3   3   2
P_04          0   3   0   0   0   0   1   1   3   0
P_05          1   2   3   2   1   1   2   0   3   3
P_06          1   0   0   4   4   2   1   1   4   1
P_07          1   1   3   3   2   1   3   1   2   2
P_08          0   1   4   0   2   2   0   0   2   3
P_09          0   2   3   0   3   2   2   1   0   4
P_10          1   3   4   2   4   0   0   2   4   4
P_11          3   0   0   1   3   3   0   0   1   2
P_12          1   1   1   0   1   0   2   3   2   1
P_13          0   3   1   4   2   4   3   4   1   3
P_14          2   1   1   1   0   1   1   0   1   4

Max           A   B   C   D   E   F   G   H   I   J
P_00          4   6   6   4   4   4   3   3   6   5
P_01          2   2   3   3   1   3   5   2   8   6
P_02          6   2   7   4   3   3   5   5   2   2
P_03          2   5   0   6   1   5   0   5   3   6
P_04          4   5   0   2   2   2   2   2   6   0
P_05          5   5   4   6   3   1   4   0   6   4
P_06          4   4   1   8   8   6   4   3   5   5
P_07          5   1   4   7   2   1   3   3   5   5
P_08          1   4   8   4   4   2   2   3   2   3
P_09          3   3   3   2   5   6   6   4   1   4
P_10          5   5   4   4   8   3   1   4   7   8
P_11          7   0   0   4   3   6   3   3   5   5
P_12          4   3   4   0   2   2   5   4   2   4
P_13          4   6   3   7   4   6   4   6   3   4
P_14          6   3   1   4   0   5   4   3   3   5

Available     A   B   C   D   E   F   G   H   I   J
              5   3   3   5   5   2   3   4   1   5
